"DATE","BLOCK","TRAP","TREATMENT","BRASS","CONVULV","PARTH","RHUS","RUBIAC","SMILAX","UNK6","UNK7","UNK8","UNK9","UNK10","UNK11","UNK12","UNK13","UNK14","UNK15","UNK16","UNK17","UNK18","UNK19","UNK20","NOTES"
"2020-11-27",3,1,"Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",3,3,"High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",3,4,"Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
"2020-11-27",3,2,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",2,2,"Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",2,1,"High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",2,4,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",2,3,"Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",9,4,"High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",9,1,"Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",9,3,"Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",9,2,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",4,1,"Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",4,4,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",4,3,"High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",4,2,"Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",5,1,"High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",5,3,"Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",5,4,"Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2020-11-27",5,2,"Control",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
